brand,model,year,price,mileage,exterior_color,interior_color,fuel_type,engine,transmission,city_mpg,hwy_mpg
Honda, Civic LX,2016,14099,39132,Crystal Black Pearl,Tan,Gasoline,2.0L I4 16V MPFI DOHC,Automatic CVT,27,40
Honda, Accord Sport,2017,17299,39818,White Orchid Pearl,Tan,Gasoline,2.4L I4 16V GDI DOHC,Automatic CVT,23,32
Honda, Accord LX,2016,15299,40835,Modern Steel Metallic,Black,Gasoline,2.4L I4 16V GDI DOHC,Automatic CVT,23,34
Honda, Civic LX,2017,13599,41582,Taffeta White,Tan,Gasoline,2.0L I4 16V MPFI DOHC,Automatic CVT,28,40
Honda, Civic LX,2015,12599,41777,Taffeta White,Beige,Gasoline,1.8L I4 16V MPFI SOHC,Automatic CVT,28,36
Honda, Civic LX,2015,12099,42234,Crystal Black Pearl,Beige,Gasoline,1.8L I4 16V MPFI SOHC,Automatic CVT,28,36
Honda, Accord Sport,2016,15499,48487,Crystal Black Pearl,Black,Gasoline,2.4L I4 16V GDI DOHC,Automatic CVT,23,34
Honda, Civic LX,2013,10599,50261,Alabaster Silver Metallic,Gray,Gasoline,1.8L I4 16V MPFI SOHC,5-Speed Automatic,28,36
Honda, Civic EX-T,2016,15799,50682,Blue,Black,Gasoline,1.5L I4 16V GDI DOHC Turbo,Automatic CVT,31,42
Honda, Accord LX,2015,13099,54225,White Orchid Pearl,Parchment,Gasoline,2.4L I4 16V GDI DOHC,Automatic CVT,24,34
Honda, Civic EX,2017,16099,59461,Crystal Black Pearl,Tan,Gasoline,2.0L I4 16V MPFI DOHC,Automatic CVT,31,40
Honda, Accord Sport,2016,15299,61605,Crystal Black Pearl,Black,Gasoline,2.4L I4 16V GDI DOHC,Automatic CVT,23,34
Honda, Accord EX-L V-6,2015,14999,63648,Gray,Black,Gasoline,3.5L V6 24V MPFI SOHC,6-Speed Automatic,21,34
Honda, Civic LX,2017,13799,66428,Gray,Black,Gasoline,2.0L I4 16V MPFI DOHC,Automatic CVT,28,40
Honda, Accord EX,2015,12999,66576,White Orchid Pearl,Black,Gasoline,2.4L I4 16V GDI DOHC,Automatic CVT,24,34
Honda, Accord LX,2013,11599,72086,Crystal Black Pearl,Parchment,Gasoline,2.4L I4 16V GDI DOHC,Automatic CVT,24,34
Honda, Accord EX-L,2015,14599,78024,Burgundy,Parchment,Gasoline,2.4L I4 16V GDI DOHC,Automatic CVT,27,36
Honda, Accord LX,2012,10599,79103,Alabaster Silver Metallic,Black,Gasoline,2.4L I4 16V MPFI DOHC,5-Speed Automatic,23,34
Honda, Accord LX,2013,10499,80254,Crystal Black Pearl,Black,Gasoline,2.4L I4 16V GDI DOHC,Automatic CVT,24,34
