brand,model,year,price,mileage,exterior_color,interior_color,fuel_type,engine,transmission,city_mpg,hwy_mpg
Kia, K900 Luxury,2015,21990,32208,Snow White Pearl,Black,Gasoline,5.0L V8 DGI DOHC,8-Speed Automatic,15,23
Kia, Optima LX,2016,13985,45905,Snow White Pearl,Black,Gasoline,2.4L I4 DGI DOHC,6-Speed Automatic with Sportmatic,24,35
Kia, Optima EX,2015,15989,57277,Snow White Pearl,Beige,Gasoline,2.4L I4 DGI DOHC,6-Speed Automatic with Sportmatic,23,34
Kia, Optima SX Turbo,2017,19888,21944,Platinum Graphite,black,Gasoline,2.0L I4 DGI DOHC Turbocharged,6-Speed Automatic with Sportmatic,22,31
Kia, Optima EX,2018,19901,2316,Horizon Blue,Black,Gasoline,2.4L I4 DGI DOHC,6-Speed Automatic with Sportmatic,24,34
Kia, Forte LX,2016,11468,21159,Snow White Pearl,Black,Gasoline,1.8L I4 DOHC D-CVVT MPI Engine,Automatic,25,37
Kia, Optima LX,2013,9435,70753,Snow White Pearl,Beige,Gasoline,2.4L DOHC GDI 16-Valve I4 Engine,Automatic,24,35
Kia, Optima EX,2014,14000,85493,White,Gray,Gasoline,2.4L I4 16V GDI DOHC,6-Speed Automatic,23,34
Kia, Forte S,2019,16768,7956,Aurora Black,Black,Gasoline,2.0L I4 DOHC Dual CVVT,IVT,30,40
Kia, Optima Hybrid EX,2012,7800,83191,Black,Beige,Hybrid,4-cylinder,Automatic,34,39
Kia, Optima LX,2015,13498,34342,Snow White Pearl,Gray,Gasoline,2.4L I4 16V GDI DOHC,6-Speed Automatic,23,34
Kia, Optima EX,2015,12899,33794,Titanium Silver,Black,Gasoline,2.4L I4 16V GDI DOHC,6-Speed Automatic,23,34
Kia, Forte LX,2016,10299,36417,Silky Silver,Gray,Gasoline,1.8L I4 16V MPFI DOHC,6-Speed Automatic,25,37
Kia, Optima EX,2015,11999,42399,Sparkling Silver,Gray,Gasoline,2.4L I4 16V GDI DOHC,6-Speed Automatic,23,34
Kia, Optima EX,2015,13299,54032,Snow White Pearl,Beige,Gasoline,2.4L I4 16V GDI DOHC,6-Speed Automatic,23,34
Kia, Optima LX,2015,10599,58614,Smokey Blue,Gray,Gasoline,2.4L I4 16V GDI DOHC,6-Speed Automatic,23,34
Kia, Optima LX,2015,10299,60112,Remington Red Metallic,Beige,Gasoline,2.4L I4 16V GDI DOHC,6-Speed Automatic,23,34
