brand,model,year,price,mileage,exterior_color,interior_color,fuel_type,engine,transmission,city_mpg,hwy_mpg
Ford,Taurus Limited,2018,18395,39363,Gold,Tan,Gasoline,3.5L V6 DOHC 24V,Automatic,18,27
Ford,Fusion SE,2013,9995,82628,Tuxedo Black Metallic,Charcoal Black,Gasoline,2.5L I4 16V MPFI DOHC,6-Speed Automatic,22,34
Ford,Fusion SE,2016,11897,83590,Bronze Fire Metallic Tinted Clearcoat,Ebony,Gasoline,1.5L I4 16V GDI DOHC Turbo,6-Speed Automatic,22,31
Ford,Taurus SEL,2014,13963,30628,White,Dune,Gasoline,3.5L V6 24V MPFI DOHC,6-Speed Automatic,19,29
Ford,Fusion SE,2016,12962,56255,Bronze Fire Metallic Tinted Clearcoat,Dune,Gasoline,Regular Unleaded I-4 2.5 L/152,6-Speed Automatic,22,31
Ford,Taurus Limited,2012,11132,84014,White Platinum Tri-Coat Metallic,Light Stone,Gasoline,3.5L V6 24V MPFI DOHC,6-Speed Automatic,18,27
Ford,Fusion SEL,2012,10995,76109,White Platinum Tri-Coat Metallic,Charcoal Black,Gasoline,2.5L I4 16V MPFI DOHC,Automatic,18,26
Ford,Fusion Hybrid SE,2016,15690,27459,Ingot Silver,Charcoal Black,Hybrid,I4 Hybrid,E-CVT Automatic,44,41
Ford,Fusion SE,2013,11498,63044,Ruby Red Metallic Tinted Clearcoat,Charcoal Black,Gasoline,2.5L i-VCT I4 engine,Automatic,22,34
Ford,Fusion Hybrid SE,2018,14525,31557,Lightning Blue,,Hybrid,2.0L I4 16V MPFI DOHC Hybrid,Automatic CVT,43,41
Ford,Taurus LIMITED,2016,19990,18058,White Platinum Met Tri-Coat,,E85 Flex Fuel,3.5L V6 TIVCT ENGINE,6-SPEED AUTOMATIC,18,27
Ford,Fusion SE,2013,9999,64168,Oxford White,Charcoal Black,Gasoline,1.6L,Manual,22,34
Ford,Taurus SEL,2015,12775,66680,Ruby Red Metallic Tinted Clearcoat,Dune,E85 Flex Fuel,3.5L V6 24V MPFI DOHC Flexible Fuel,6-Speed Automatic,19,29
Ford,Fusion SE,2014,6995,136504,Black,Black,Gasoline,2.5L I4 175hp 175ft. lbs.,Automatic,22,34
Ford,Fusion Titanium,2018,17691,19006,Gold,Dark Earth Gray,Gasoline,EcoBoost 2.0L I4 GTDi DOHC Turbocharged VCT,6-Speed Automatic,21,31
Ford,Fusion Energi Titanium,2017,16000,32334,Ruby Red Metallic Tinted Clearcoat,Ebony,Hybrid,2.0L I4 16V MPFI DOHC Hybrid,Automatic CVT,,
Ford,Taurus SEL,2015,14983,58654,Dark Side Metallic,Charcoal Black,Gasoline,2.0L I4 16V GDI DOHC Turbo,6-Speed Automatic,19,29
Ford,Fusion SE,2017,17105,36060,Shadow Black,Ebony,Gasoline,2.0L I4 16V GDI DOHC Turbo,6-Speed Automatic,21,32
Ford,Fusion S,2017,13746,25985,Blue Lightning,,Gasoline,2.5L I4 16V MPFI DOHC,6-Speed Automatic,21,32
Ford,Taurus SE,2017,17098,8945,White,,E85 Flex Fuel,3.5L V6 24V MPFI DOHC Flexible Fuel,6-Speed Automatic,18,27
Ford,Fusion Hybrid SE,2017,13997,66691,Gray,Black,Hybrid,2.0L L4 DOHC 16V HYBRID,Automatic,43,41
Ford,Fusion S,2016,9295,92497,Guard,Earth Gray,Gasoline,2.5L iVCT,6-Speed Automatic,22,34
Ford,Fusion SE,2016,14450,34412,Ingot Silver,Ebony,Gasoline,1.5L I4 16V GDI DOHC Turbo,6-Speed Automatic,22,31
Ford,Taurus SEL,2016,15641,60166,Magnetic Metallic,Charcoal Black,Gasoline,2.0L I4 16V GDI DOHC Turbo,6-Speed Automatic,18,27
Ford,Taurus SE,2016,12998,24790,Oxford White,Dune,E85 Flex Fuel,3.5L 6-Cylinder SMPI DOHC,6-Speed Automatic with Select-Shift,18,27
Ford,Fusion SE,2015,14038,33667,Red,Charcoal Black,Gasoline,1.5L I4 16V GDI DOHC Turbo,6-Speed Automatic,22,31
Ford,Taurus Limited,2017,13970,73805,Shadow Black,Dune,E85 Flex Fuel,3.5L V6 24V MPFI DOHC Flexible Fuel,6-Speed Automatic,18,27
Ford,Fusion Energi Titanium,2016,15143,29462,Magnetic,Charcoal Black,Hybrid,2.0L I4,E-CVT Automatic,40,36
Ford,Fusion SE,2013,9995,77260,Maroon,Charcoal Black,Gasoline,4 Cylinder,6 Speed Automatic,22,34
Ford,Fusion Energi Titanium,2014,11998,75266,Tuxedo Black Metallic,Charcoal Black,Hybrid,2.0L I4 16V MPFI DOHC Hybrid,Automatic CVT,40,36
Ford,Fusion Hybrid SE,2018,13298,44405,White,Ebony,Hybrid,2.0L I4 16V MPFI DOHC Hybrid,Automatic CVT,43,41
Ford,Fusion Hybrid SE,2018,14500,45948,Silver,Black,Hybrid,2.0L I4 16V MPFI DOHC Hybrid,Automatic CVT,43,41
Ford,Fusion Hybrid SE,2018,14000,34839,Oxford White,Ebony,Hybrid,I4 Hybrid,E-CVT Automatic,43,41
Ford,Fusion SE,2016,11500,136251,Tectonic,Ebony,Gasoline,2.5L I4 175hp 175ft. lbs.,Automatic,22,31
Ford,Taurus Limited,2016,16975,43069,Maroon,Charcoal Black,E85 Flex Fuel,"V6, 3.5L",Automatic w/OD,18,27
Ford,Fusion SE,2017,15998,31870,Black,,Gasoline,Intercooled Turbo Regular Unleaded I-4 1.5 L/91,6-Speed Automatic w/OD,21,32
Ford,Taurus SEL,2013,10475,87551,Tuxedo Black Metallic,Charcoal Black,Gasoline,3.5L 6-Cylinder SMPI DOHC,6-Speed Automatic with Select-Shift,19,29
Ford,Taurus Limited,2014,11976,91639,Tuxedo Black Metallic,Charcoal Black,Gasoline,6 Cylinder,Automatic,19,29
Ford,Taurus Limited,2015,15499,65736,White Platinum Metallic Tri-Coat,Dune,Gasoline,V-6 cyl,6-Speed Automatic with Select-Shift,19,29
Ford,Taurus SEL,2011,7929,119322,Ingot Silver Metallic,Charcoal Black,Gasoline,V6 Cylinder Engine 3.5L,AUTOMATIC,18,27
Ford,Fusion SE,2015,10950,91171,Gold,,Gasoline,2.0L I4 16V GDI DOHC Turbo,6-Speed Automatic,22,31
Ford,Fusion Hybrid SE,2018,16790,27433,Ruby Red Metallic Tinted Clearcoat,Ebony,Hybrid,Gas/Electric I-4 2.0 L/122,1-Speed CVT w/OD,43,41
Ford,Fusion SE,2015,11900,112183,Magnetic,,Gasoline,1.5L I4 16V GDI DOHC Turbo,6-Speed Automatic,22,31
Ford,Fusion Hybrid SE,2018,16987,23234,Oxford White,Medium Light Stone,Hybrid,Gas/Electric I-4 2.0 L/122,1-Speed CVT w/OD,43,41
Ford,Taurus SEL,2017,17815,15391,White Platinum Tri-Coat Metallic,Dune,E85 Flex Fuel,3.5L V6 24V MPFI DOHC Flexible Fuel,6-Speed Automatic,17,24
Ford,Fusion SE,2015,11894,73001,Tuxedo Black,Charcoal Black,Gasoline,2.5L I4 16V MPFI DOHC,6-Speed Automatic,22,31
Ford,Fusion SE,2015,11962,65204,Guard,Charcoal Black,Gasoline,4 Cylinder Engine 2.5L,AUTOMATIC,22,31
Ford,Fusion Hybrid SE,2017,15897,26993,Magnetic,Ebony,Hybrid,I4 Hybrid,eCVT,43,41
Ford,Fusion SE,2015,11499,32247,Gray,GRAY,Gasoline,2.5L 4 CYLINDER,6-Speed Automatic,22,31
Ford,Fusion Titanium,2015,14990,43825,White Platinum Metallic Tri-Coat,Dune,Gasoline,Intercooled Turbo Regular Unleaded I-4 2.0 L/122,6-Speed Automatic w/OD,22,33
Ford,Fusion Hybrid Titanium,2018,15094,43777,Magnetic Metallic,Ebony,Hybrid,2.0L I4 16V MPFI DOHC Hybrid,Automatic CVT,43,41
Ford,Fusion S,2017,13559,29266,White,,Gasoline,2.5L iVCT,6-Speed Automatic,21,32
Ford,Fusion Hybrid S,2015,9995,96310,White,Gray,Hybrid,2.0L I4,CVT,44,41
Ford,Focus SE,2014,7499,72026,Oxford White,Charcoal Black,Gasoline,2.0L I4 16V GDI DOHC,6-Speed Automatic with Auto-Shift,26,36
Ford,Taurus Limited,2016,16945,42469,Ruby Red Metallic Tinted Clearcoat,Charcoal Black,Gasoline,3.5L V6 24V MPFI DOHC,6-Speed Automatic,18,27
Ford,Fusion Hybrid SE,2017,9988,79122,Black Shadow,Black,Hybrid,2.0L I4 16V MPFI DOHC Hybrid,Automatic CVT,43,41
Ford,Fusion Hybrid SE,2018,15000,35568,Oxford White,Ebony,Hybrid,2.0L I4 16V MPFI DOHC Hybrid,Automatic CVT,43,41
Ford,Taurus SEL,2013,9990,77536,,,Gasoline,3.5L V6 24V MPFI DOHC,6-Speed Automatic,19,29
Ford,Fusion Titanium,2013,9500,101444,Ruby Red Metallic Tinted Clearcoat,,Gasoline,2.0L I4 16V GDI DOHC Turbo,6-Speed Automatic,22,33
Ford,Fusion SE,2015,12443,57071,Charcoal Black,White Platinum,Gasoline,I-4 cyl,AUTO,22,31
Ford,Fusion SE,2016,13645,67219,Magnetic,Ebony,Gasoline,1.5L I4 16V GDI DOHC Turbo,6-Speed Automatic,22,31
Ford,Fusion SE,2018,14999,21570,Magnetic Metallic,Ebony,Gasoline,2.5L iVCT,6-Speed Automatic,20,29
Ford,Taurus SHO,2015,21800,50104,Tuxedo Black Metallic,Charcoal Black,Gasoline,3.5L V6 24V GDI DOHC Twin Turbo,6-Speed Automatic,17,25
Ford,Fusion SE,2013,10486,86532,Red,Charcoal,Gasoline,1.6L I4 16V GDI DOHC Turbo,6-Speed Automatic,22,34
Ford,Fusion SE,2015,10899,88949,Ruby Red Tinted Clearcoat,Charcoal Black,Gasoline,2.5L I4 16V MPFI DOHC,6-Speed Automatic,22,31
Ford,Fusion Energi SE Luxury,2016,15500,45343,Ingot Silver - Silver,Charcoal Black Leather,Hybrid,2.0L,Automatic,40,36
Ford,Fusion SE,2015,11095,84529,Gray,,Gasoline,2.5L I4 16V MPFI DOHC,6-Speed Automatic,22,31
Ford,Taurus SEL,2013,12700,51704,Blue,Charcoal Black,Gasoline,3.5L V6 24V MPFI DOHC,6-Speed Automatic,19,29
Ford,Fusion SE,2016,15800,22097,Oxford White,Charcoal Black,Gasoline,2.5L I4 16V MPFI DOHC,6-Speed Automatic,22,31
Ford,Fusion S,2016,12365,37342,Shadow Black,Ebony,Gasoline,2.5L iVCT,6-Speed Automatic,22,34
Ford,Fusion Hybrid Titanium,2018,20200,17773,Ingot Silver Metallic,Medium Soft Ceramic,Hybrid,2.0L I4 16V MPFI DOHC Hybrid,Automatic CVT,43,41
Ford,Fusion Hybrid SE,2015,12042,46216,Gray,Medium Soft Ceramic,Hybrid,2.0L I4 16V MPFI DOHC Hybrid,Automatic CVT,44,41
Ford,Taurus SEL,2013,12900,77098,Blue,,Gasoline,3.5L V6 24V MPFI DOHC,6-Speed Automatic,19,29
Ford,Fusion SE,2017,11300,70473,Ingot Silver,Ebony,Gasoline,2.5L I4 16V MPFI DOHC,6-Speed Automatic,21,32
Ford,Fusion Sport,2012,12495,66488,Blue Flame,Sport Blue,Gasoline,3.5L V6 24V MPFI DOHC,6-Speed Automatic,18,27
Ford,Fusion Titanium,2013,11288,75145,Sterling Gray Metallic,Charcoal Black,Gasoline,4 Cylinder EcoBoost,Automatic,22,33
Ford,Fusion SE,2016,16988,28636,Oxford White,CHARCOAL BLACK,Gasoline,2.0L ECOBOOST ENGINE,6-SPEED AUTOMATIC,22,31
Ford,Fusion Hybrid SE,2018,15800,24518,Lightning Blue,Ebony,Hybrid,2.0L I4 16V MPFI DOHC Hybrid,Automatic CVT,43,41
Ford,Focus SE,2012,9800,43373,Gray,Light Gray,E85 Flex Fuel,2.0L I4 16V GDI DOHC Flexible Fuel,6-Speed Automatic with Auto-Shift,26,36
Ford,Taurus SHO,2014,14590,79693,Red,,Gasoline,3.5 L,Automatic,17,25
Ford,Fusion SE,2016,14490,31945,Tectonic,Ebony,Gasoline,EcoBoost 1.5L I4 GTDi DOHC Turbocharged VCT,6-Speed Automatic,22,31
Ford,Fusion SE,2014,10100,84283,White Platinum Tri-Coat Metallic,Ebony,Gasoline,EcoBoost 1.5L I4 GTDi DOHC Turbocharged VCT,6-Speed Automatic,22,34
Ford,Fusion S,2016,11450,36235,Ingot Silver,Earth Gray,Gasoline,2.5L iVCT,6-Speed Automatic,22,34
Ford,Fusion Hybrid Titanium,2018,17573,28299,Silver,Ebony,Hybrid,I4 Hybrid,E-CVT Automatic,43,41
Ford,Fusion Platinum,2017,17589,38479,Shadow Black,Medium Soft Ceramic,Gasoline,2.0L I4 16V GDI DOHC Turbo,6-Speed Automatic,21,31
Ford,Taurus SE,2016,15390,32486,Blue Jeans,,Gasoline,3.5L V6 24V MPFI DOHC,6-Speed Automatic,18,27
Ford,Fusion Hybrid SE,2017,12991,48079,Silver,,Hybrid,2.0L I4 16V MPFI DOHC Hybrid,Automatic CVT,43,41
Ford,Taurus SEL,2016,16900,21322,Blue,Charcoal Black,Gasoline,3.5L V6 24V MPFI DOHC,6-Speed Automatic,18,27
Ford,Fusion Energi SE Luxury,2013,8950,157100,Black,,Hybrid,2.0L I4 16V MPFI DOHC Hybrid,Automatic CVT,40,36
Ford,Focus SE,2017,11988,52038,Oxford White,Charcoal Black,Gasoline,2.0L I-4,Automatic,30,40
Ford,Taurus Limited,2013,12371,84225,Ingot Silver Metallic,Dune,Gasoline,Gas V6 3.5L/213,6-Speed Automatic w/Manual Shift,19,29
Ford,Fusion SE,2016,11698,57491,Silver,Charcoal Black,Gasoline,2.5L iVCT,Automatic,22,31
Ford,Taurus Limited,2014,7998,258117,White Platinum Tri-Coat Metallic,Dune,Gasoline,3.5L V6 24V MPFI DOHC,6-Speed Automatic,19,29
Ford,Taurus SEL,2013,10475,102218,Deep Impact Blue,Charcoal Black,Gasoline,3.5L V6 24V MPFI DOHC,6-Speed Automatic,19,29
Ford,Fusion SE,2016,13990,53982,Shadow Black,Charcoal Black,Gasoline,1.5L I4 16V GDI DOHC Turbo,6-Speed Automatic,22,31
Ford,Taurus SEL,2014,11649,92200,Red,,Gasoline,3.5L V6 24V MPFI DOHC,6-Speed Automatic,19,29
Ford,Taurus SEL,2015,14999,86810,Black,,E85 Flex Fuel,3.5L V6 24V MPFI DOHC Flexible Fuel,6-Speed Automatic,19,29
Ford,Fusion SE,2016,14980,44910,Deep Impact Blue,Ebony,Gasoline,2.5L iVCT,6-Speed Automatic,22,31
Ford,Fusion Hybrid SE,2017,12997,47993,White,Black,Hybrid,2.0L I4 16V MPFI DOHC Hybrid,Automatic CVT,43,41
Ford,Taurus SHO,2015,23429,19201,White Platinum Metallic Tri-Coat,Mayan Gray,Gasoline,Twin Turbo Premium Unleaded V-6 3.5 L/213,6-Speed Automatic w/OD,17,25
Ford,Fusion SE,2016,10900,38303,Blue,Black,Gasoline,1.5L I4 Turbocharger,Automatic 6-Speed,22,31
