brand,model,year,price,mileage,exterior_color,interior_color,fuel_type,engine,transmission,city_mpg,hwy_mpg
Nissan, Maxima 3.5 SV,2018,18975,36692,Pearl White,Charcoal,Gasoline,3.5L V6 24V MPFI DOHC,Automatic CVT,21,30
Nissan, Altima 2.5 SL,2017,15095,36871,Gun Metallic,Charcoal,Gasoline,2.5L I4 16V MPFI DOHC,Automatic CVT,27,39
Nissan, Altima 2.5 SL,2017,15095,36909,Gun Metallic,Charcoal,Gasoline,2.5L I4 16V MPFI DOHC,Automatic CVT,27,39
Nissan, Altima 2.5 SL,2017,15095,36987,Brilliant Silver,Charcoal,Gasoline,2.5L I4 16V MPFI DOHC,Automatic CVT,27,39
Nissan, Maxima 3.5 SV,2018,19199,37754,Brilliant Silver,Charcoal,Gasoline,3.5L V6 24V MPFI DOHC,Automatic CVT,21,30
Nissan, Altima 2.5 SL,2017,14850,38341,Gun Metallic,Charcoal,Gasoline,2.5L I4 16V MPFI DOHC,Automatic CVT,27,39
Nissan, Maxima 3.5 SV,2018,19499,39199,Gun Metallic,Charcoal,Gasoline,3.5L V6 24V MPFI DOHC,Automatic CVT,21,30
Nissan, Altima 2.5 SL,2017,15375,39815,Super Black,Charcoal,Gasoline,2.5L I4 16V MPFI DOHC,Automatic CVT,27,39
Nissan, Altima 2.5 SL,2018,15099,40909,Gun Metallic,Charcoal,Gasoline,2.5L I4 16V MPFI DOHC,Automatic CVT,27,38
Nissan, Maxima 3.5 SV,2018,19299,41565,Pearl White,Charcoal,Gasoline,3.5L V6 24V MPFI DOHC,Automatic CVT,21,30
Nissan, Altima 2.5 SL,2018,14995,41633,Brilliant Silver,Charcoal,Gasoline,2.5L I4 16V MPFI DOHC,Automatic CVT,27,38
Nissan, Altima 2.5 SL,2018,14799,43454,Storm Blue,Charcoal,Gasoline,2.5L I4 16V MPFI DOHC,Automatic CVT,27,38
Nissan, Versa 1.6 SV,2018,10897,43505,Gun Metallic,Charcoal,Gasoline,1.6L I4 16V MPFI DOHC,Automatic CVT,31,39
Nissan, Altima 2.5 SL,2018,14675,43552,Pearl White,Charcoal,Gasoline,2.5L I4 16V MPFI DOHC,Automatic CVT,27,38
Nissan, Versa 1.6 SV,2017,9385,43732,Brilliant Silver,Charcoal,Gasoline,1.6L I4 16V MPFI DOHC,Automatic CVT,31,39
Nissan, Altima 2.5 SL,2018,14890,44069,Gun Metallic,Charcoal,Gasoline,2.5L I4 16V MPFI DOHC,Automatic CVT,27,38
Nissan, Versa 1.6 SV,2018,10375,44221,Brilliant Silver,Charcoal,Gasoline,1.6L I4 16V MPFI DOHC,Automatic CVT,31,39
Nissan, Altima 2.5 SL,2018,14890,45256,Gun Metallic,Charcoal,Gasoline,2.5L I4 16V MPFI DOHC,Automatic CVT,27,38
Nissan, Altima 2.5 SL,2018,14795,46153,Gun Metallic,Charcoal,Gasoline,2.5L I4 16V MPFI DOHC,Automatic CVT,27,38
Nissan, Altima 2.5 SL,2018,14975,47038,Storm Blue,Charcoal,Gasoline,2.5L I4 16V MPFI DOHC,Automatic CVT,27,38
Nissan, Versa 1.6 SV,2017,9533,47092,Fresh Powder,Charcoal,Gasoline,1.6L I4 16V MPFI DOHC,Automatic CVT,31,39
Nissan, Sentra SV,2017,11367,47116,Red Alert,Charcoal,Gasoline,1.8L I4 16V MPFI DOHC,Automatic CVT,29,37
Nissan, Altima 2.5 SL,2018,14799,47151,Brilliant Silver,Charcoal,Gasoline,2.5L I4 16V MPFI DOHC,Automatic CVT,27,38
Nissan, Sentra SV,2017,11475,50427,Gun Metallic,Charcoal,Gasoline,1.8L I4 16V MPFI DOHC,Automatic CVT,29,37
Nissan, Sentra SV,2017,9975,76214,Red Alert,Charcoal,Gasoline,1.8L I4 16V MPFI DOHC,Automatic CVT,29,37
Nissan, Sentra SV,2017,9984,76244,Fresh Powder,Charcoal,Gasoline,1.8L I4 16V MPFI DOHC,Automatic CVT,29,37
Nissan, Sentra SV,2017,9950,77778,Fresh Powder,Charcoal,Gasoline,1.8L I4 16V MPFI DOHC,Automatic CVT,29,37
Nissan, Sentra SV,2017,9988,78603,Brilliant Silver,Charcoal,Gasoline,1.8L I4 16V MPFI DOHC,Automatic CVT,29,37
Nissan, Sentra SV,2017,9566,81815,Brilliant Silver,Charcoal,Gasoline,1.8L I4 16V MPFI DOHC,Automatic CVT,29,37
Nissan, Sentra SV,2017,9438,87673,Gun Metallic,Charcoal,Gasoline,1.8L I4 16V MPFI DOHC,Automatic CVT,29,37
Nissan, Maxima 3.5 SV w/Sport Pkg,2010,9756,74058,Mystic Jade Metallic,Charcoal,Gasoline,Gas V6 3.5L/,Variable,19,26
Nissan, Sentra S,2017,12750,20714,Brilliant Silver,Charcoal,Gasoline,1.8L I4 16V MPFI DOHC,Automatic CVT,27,35
